; Sample Rate 8000
; Channels 2
           0.019    -0.2215002859   -0.2215002859 
        0.019125   -0.21497318335  -0.21497318335 
         0.01925   -0.20491160592  -0.20491160592 
        0.019375   -0.18792222207  -0.18792222207 
          0.0195   -0.16669804882  -0.16669804882 
        0.019625   -0.14445629064  -0.14445629064 
         0.01975   -0.11480830749  -0.11480830749 
        0.019875  -0.066384915262 -0.066384915262 
            0.02                0               0 
        0.020125   0.066384915262  0.066384915262 
         0.02025    0.11480830749   0.11480830749 
        0.020375    0.14445629064   0.14445629064 
          0.0205    0.16669804882   0.16669804882 
        0.020625    0.18792222207   0.18792222207 
         0.02075    0.20491160592   0.20491160592 
        0.020875    0.21497318335   0.21497318335 
           0.021     0.2215002859    0.2215002859 
        0.021125    0.22740953136   0.22740953136 
         0.02125    0.23020655103   0.23020655103 
        0.021375    0.22740945732   0.22740945732 
          0.0215    0.22150027938   0.22150027938 
        0.021625    0.21497319685   0.21497319685 
         0.02175    0.20491158636   0.20491158636 
        0.021875    0.18792222068   0.18792222068 
           0.022    0.16669806605   0.16669806605 
        0.022125    0.14445634047   0.14445634047 
         0.02225    0.11480829539   0.11480829539 
        0.022375   0.066384912003  0.066384912003 
          0.0225  7.4505805969e-09 7.4505805969e-09 
        0.022625  -0.066384896636 -0.066384896636 
         0.02275   -0.11480832379  -0.11480832379 
        0.022875   -0.14445629437  -0.14445629437 
           0.023   -0.16669804975  -0.16669804975 
        0.023125   -0.18792222906  -0.18792222906 
         0.02325   -0.20491163479  -0.20491163479 
        0.023375   -0.21497314936  -0.21497314936 
          0.0235   -0.22150030546  -0.22150030546 
        0.023625   -0.22740951087  -0.22740951087 
         0.02375   -0.23020660225  -0.23020660225 
        0.023875   -0.22740948061  -0.22740948061 
           0.024   -0.22150031943  -0.22150031943 
        0.024125   -0.21497318055  -0.21497318055 
         0.02425   -0.20491158823  -0.20491158823 
        0.024375   -0.18792217644  -0.18792217644 
          0.0245   -0.16669805581  -0.16669805581 
        0.024625   -0.14445630834  -0.14445630834 
         0.02475   -0.11480831308  -0.11480831308 
        0.024875  -0.066384908278 -0.066384908278 
           0.025  -2.2817403078e-08 -2.2817403078e-08 
        0.025125   0.066384941339  0.066384941339 
         0.02525    0.11480835453   0.11480835453 
        0.025375    0.14445628645   0.14445628645 
          0.0255    0.16669802414   0.16669802414 
        0.025625    0.18792220205   0.18792220205 
         0.02575    0.20491161756   0.20491161756 
        0.025875    0.21497314889   0.21497314889 
           0.026    0.22150028963   0.22150028963 
        0.026125    0.22740951832   0.22740951832 
         0.02625    0.23020663252   0.23020663252 
        0.026375    0.22740946896   0.22740946896 
          0.0265    0.22150027659   0.22150027659 
        0.026625    0.21497319266   0.21497319266 
         0.02675    0.20491165854   0.20491165854 
        0.026875    0.18792218668   0.18792218668 
           0.027    0.16669803904   0.16669803904 
        0.027125    0.14445632976   0.14445632976 
         0.02725    0.11480831075   0.11480831075 
        0.027375   0.066384869162  0.066384869162 
          0.0275  1.6763806343e-08 1.6763806343e-08 
        0.027625  -0.066384891514 -0.066384891514 
         0.02775   -0.11480832659  -0.11480832659 
        0.027875    -0.1444563414   -0.1444563414 
           0.028   -0.16669802647  -0.16669802647 
        0.028125   -0.18792223977  -0.18792223977 
         0.02825   -0.20491162967  -0.20491162967 
        0.028375   -0.21497317031  -0.21497317031 
          0.0285   -0.22150023654  -0.22150023654 
        0.028625   -0.22740948759  -0.22740948759 
         0.02875   -0.23020659154  -0.23020659154 
        0.028875   -0.22740950156  -0.22740950156 
           0.029   -0.22150025144  -0.22150025144 
        0.029125   -0.21497321315  -0.21497321315 
         0.02925   -0.20491163479  -0.20491163479 
        0.029375   -0.18792219227  -0.18792219227 
          0.0295   -0.16669802694  -0.16669802694 
        0.029625   -0.14445632696  -0.14445632696 
         0.02975   -0.11480833357  -0.11480833357 
        0.029875  -0.066384871025 -0.066384871025 
            0.03                0               0 
        0.030125   0.066384871025  0.066384871025 
         0.03025    0.11480833357   0.11480833357 
        0.030375    0.14445632696   0.14445632696 
          0.0305    0.16669802694   0.16669802694 
        0.030625    0.18792219227   0.18792219227 
         0.03075    0.20491163479   0.20491163479 
        0.030875    0.21497321315   0.21497321315 
           0.031    0.22150025144   0.22150025144 
        0.031125    0.22740950156   0.22740950156 
         0.03125    0.23020659154   0.23020659154 
        0.031375    0.22740948759   0.22740948759 
          0.0315    0.22150023654   0.22150023654 
        0.031625    0.21497317031   0.21497317031 
         0.03175    0.20491162967   0.20491162967 
        0.031875    0.18792223977   0.18792223977 
           0.032    0.16669802647   0.16669802647 
        0.032125     0.1444563414    0.1444563414 
         0.03225    0.11480832659   0.11480832659 
        0.032375   0.066384891514  0.066384891514 
          0.0325  -1.6763806343e-08 -1.6763806343e-08 
        0.032625  -0.066384869162 -0.066384869162 
         0.03275   -0.11480831075  -0.11480831075 
        0.032875   -0.14445632976  -0.14445632976 
           0.033   -0.16669803904  -0.16669803904 
        0.033125   -0.18792218668  -0.18792218668 
         0.03325   -0.20491165854  -0.20491165854 
        0.033375   -0.21497319266  -0.21497319266 
          0.0335   -0.22150027659  -0.22150027659 
        0.033625   -0.22740946896  -0.22740946896 
         0.03375   -0.23020663252  -0.23020663252 
        0.033875   -0.22740951832  -0.22740951832 
           0.034   -0.22150028963  -0.22150028963 
        0.034125   -0.21497314889  -0.21497314889 
         0.03425   -0.20491161756  -0.20491161756 
        0.034375   -0.18792220205  -0.18792220205 
          0.0345   -0.16669802414  -0.16669802414 
        0.034625   -0.14445628645  -0.14445628645 
         0.03475   -0.11480835453  -0.11480835453 
        0.034875  -0.066384941339 -0.066384941339 
           0.035  2.2817403078e-08 2.2817403078e-08 
        0.035125   0.066384908278  0.066384908278 
         0.03525    0.11480831308   0.11480831308 
        0.035375    0.14445630834   0.14445630834 
          0.0355    0.16669805581   0.16669805581 
        0.035625    0.18792217644   0.18792217644 
         0.03575    0.20491158823   0.20491158823 
        0.035875    0.21497318055   0.21497318055 
           0.036    0.22150031943   0.22150031943 
        0.036125    0.22740948061   0.22740948061 
         0.03625    0.23020660225   0.23020660225 
        0.036375    0.22740951087   0.22740951087 
          0.0365    0.22150030546   0.22150030546 
        0.036625    0.21497314936   0.21497314936 
         0.03675    0.20491163479   0.20491163479 
        0.036875    0.18792222906   0.18792222906 
           0.037    0.16669804975   0.16669804975 
        0.037125    0.14445629437   0.14445629437 
         0.03725    0.11480832379   0.11480832379 
        0.037375   0.066384896636  0.066384896636 
          0.0375  -7.4505805969e-09 -7.4505805969e-09 
        0.037625  -0.066384912003 -0.066384912003 
         0.03775   -0.11480829539  -0.11480829539 
        0.037875   -0.14445634047  -0.14445634047 
           0.038   -0.16669806605  -0.16669806605 
        0.038125   -0.18792222068  -0.18792222068 
         0.03825   -0.20491158636  -0.20491158636 
        0.038375   -0.21497319685  -0.21497319685 
          0.0385   -0.22150027938  -0.22150027938 
        0.038625   -0.22740945732  -0.22740945732 
         0.03875   -0.23020655103  -0.23020655103 
        0.038875   -0.22740953136  -0.22740953136 
           0.039    -0.2215002859   -0.2215002859 
        0.039125   -0.21497318335  -0.21497318335 
         0.03925   -0.20491160592  -0.20491160592 
        0.039375   -0.18792222207  -0.18792222207 
          0.0395   -0.16669804882  -0.16669804882 
